Date,Adj Close
02-01-2019,10792.5
03-01-2019,10672.25
04-01-2019,10727.34961
07-01-2019,10771.79981
08-01-2019,10802.15039
09-01-2019,10855.15039
10-01-2019,10821.59961
11-01-2019,10794.9502
14-01-2019,10737.59961
15-01-2019,10886.79981
16-01-2019,10890.29981
17-01-2019,10905.2002
18-01-2019,10906.9502
21-01-2019,10961.84961
22-01-2019,10922.75
23-01-2019,10831.5
24-01-2019,10849.79981
25-01-2019,10780.54981
28-01-2019,10661.54981
29-01-2019,10652.2002
30-01-2019,10651.79981
31-01-2019,10830.9502
01-02-2019,10893.65039
04-02-2019,10912.25
05-02-2019,10934.34961
06-02-2019,11062.4502
07-02-2019,11069.40039
08-02-2019,10943.59961
11-02-2019,10888.79981
12-02-2019,10831.40039
14-02-2019,10746.04981
15-02-2019,10724.40039
18-02-2019,10640.9502
19-02-2019,10604.34961
20-02-2019,10735.4502
21-02-2019,10789.84961
22-02-2019,10791.65039
25-02-2019,10880.09961
26-02-2019,10835.29981
27-02-2019,10806.65039
28-02-2019,10792.5
01-03-2019,10863.5
05-03-2019,10987.4502
06-03-2019,11053
07-03-2019,11058.2002
08-03-2019,11035.40039
11-03-2019,11168.04981
12-03-2019,11301.2002
13-03-2019,11341.7002
14-03-2019,11343.25
15-03-2019,11426.84961
18-03-2019,11462.2002
19-03-2019,11532.40039
20-03-2019,11521.04981
22-03-2019,11456.90039
25-03-2019,11354.25
26-03-2019,11483.25
27-03-2019,11445.04981
28-03-2019,11570
01-04-2019,11669.15039
02-04-2019,11713.2002
03-04-2019,11643.9502
04-04-2019,11598
05-04-2019,11665.9502
08-04-2019,11604.5
09-04-2019,11671.9502
10-04-2019,11584.29981
11-04-2019,11596.7002
12-04-2019,11643.4502
15-04-2019,11690.34961
16-04-2019,11787.15039
18-04-2019,11752.79981
22-04-2019,11594.4502
23-04-2019,11575.9502
24-04-2019,11726.15039
25-04-2019,11641.79981
26-04-2019,11754.65039
30-04-2019,11748.15039
02-05-2019,11724.75
03-05-2019,11712.25
06-05-2019,11598.25
07-05-2019,11497.90039
08-05-2019,11359.4502
09-05-2019,11301.79981
10-05-2019,11278.90039
13-05-2019,11148.2002
14-05-2019,11222.04981
15-05-2019,11157
16-05-2019,11257.09961
17-05-2019,11407.15039
20-05-2019,11828.25
21-05-2019,11709.09961
22-05-2019,11737.90039
23-05-2019,11657.04981
24-05-2019,11844.09961
27-05-2019,11924.75
28-05-2019,11928.75
29-05-2019,11861.09961
30-05-2019,11945.90039
31-05-2019,11922.79981
03-06-2019,12088.54981
04-06-2019,12021.65039
06-06-2019,11843.75
07-06-2019,11870.65039
10-06-2019,11922.7002
11-06-2019,11965.59961
12-06-2019,11906.2002
13-06-2019,11914.04981
14-06-2019,11823.29981
17-06-2019,11672.15039
18-06-2019,11691.5
19-06-2019,11691.4502
20-06-2019,11831.75
21-06-2019,11724.09961
24-06-2019,11699.65039
25-06-2019,11796.4502
26-06-2019,11847.54981
27-06-2019,11841.54981
28-06-2019,11788.84961
01-07-2019,11865.59961
02-07-2019,11910.29981
03-07-2019,11916.75
04-07-2019,11946.75
05-07-2019,11811.15039
08-07-2019,11558.59961
09-07-2019,11555.90039
10-07-2019,11498.90039
11-07-2019,11582.90039
12-07-2019,11552.5
15-07-2019,11588.34961
16-07-2019,11662.59961
17-07-2019,11687.5
18-07-2019,11596.90039
19-07-2019,11419.25
22-07-2019,11346.2002
23-07-2019,11331.04981
24-07-2019,11271.29981
25-07-2019,11252.15039
26-07-2019,11284.29981
29-07-2019,11189.2002
30-07-2019,11085.40039
31-07-2019,11118
01-08-2019,10980
02-08-2019,10997.34961
05-08-2019,10862.59961
06-08-2019,10948.25
07-08-2019,10855.5
08-08-2019,11032.4502
09-08-2019,11109.65039
13-08-2019,10925.84961
14-08-2019,11029.40039
16-08-2019,11047.79981
19-08-2019,11053.90039
20-08-2019,11017
21-08-2019,10918.7002
22-08-2019,10741.34961
23-08-2019,10829.34961
26-08-2019,11057.84961
27-08-2019,11105.34961
28-08-2019,11046.09961
29-08-2019,10948.29981
30-08-2019,11023.25
03-09-2019,10797.90039
04-09-2019,10844.65039
05-09-2019,10847.90039
06-09-2019,10946.2002
09-09-2019,11003.04981
11-09-2019,11035.7002
12-09-2019,10982.79981
