,Date,Adj Close,isPivot
0,02-01-2019,10792.5,1
1,03-01-2019,10672.25,0
2,04-01-2019,10727.34961,0
3,07-01-2019,10771.799809999999,0
4,08-01-2019,10802.15039,0
5,09-01-2019,10855.15039,1
6,10-01-2019,10821.59961,0
7,11-01-2019,10794.9502,0
8,14-01-2019,10737.59961,0
9,15-01-2019,10886.799809999999,0
10,16-01-2019,10890.299809999999,0
11,17-01-2019,10905.2002,0
12,18-01-2019,10906.9502,0
13,21-01-2019,10961.84961,1
14,22-01-2019,10922.75,0
15,23-01-2019,10831.5,0
16,24-01-2019,10849.799809999999,0
17,25-01-2019,10780.549809999999,0
18,28-01-2019,10661.549809999999,0
19,29-01-2019,10652.2002,0
20,30-01-2019,10651.799809999999,0
21,31-01-2019,10830.9502,0
22,01-02-2019,10893.65039,0
23,04-02-2019,10912.25,0
24,05-02-2019,10934.34961,0
25,06-02-2019,11062.4502,0
26,07-02-2019,11069.40039,1
27,08-02-2019,10943.59961,0
28,11-02-2019,10888.799809999999,0
29,12-02-2019,10831.40039,0
30,14-02-2019,10746.049809999999,0
31,15-02-2019,10724.40039,0
32,18-02-2019,10640.9502,0
33,19-02-2019,10604.34961,0
34,20-02-2019,10735.4502,0
35,21-02-2019,10789.84961,0
36,22-02-2019,10791.65039,0
37,25-02-2019,10880.09961,1
38,26-02-2019,10835.299809999999,0
39,27-02-2019,10806.65039,0
40,28-02-2019,10792.5,0
41,01-03-2019,10863.5,0
42,05-03-2019,10987.4502,0
43,06-03-2019,11053.0,0
44,07-03-2019,11058.2002,0
45,08-03-2019,11035.40039,0
46,11-03-2019,11168.049809999999,0
47,12-03-2019,11301.2002,0
48,13-03-2019,11341.7002,0
49,14-03-2019,11343.25,0
50,15-03-2019,11426.84961,0
51,18-03-2019,11462.2002,0
52,19-03-2019,11532.40039,1
53,20-03-2019,11521.049809999999,0
54,22-03-2019,11456.90039,0
55,25-03-2019,11354.25,0
56,26-03-2019,11483.25,0
57,27-03-2019,11445.049809999999,0
58,28-03-2019,11570.0,0
59,01-04-2019,11669.15039,0
60,02-04-2019,11713.2002,1
61,03-04-2019,11643.9502,0
62,04-04-2019,11598.0,0
63,05-04-2019,11665.9502,0
